,TOTAL_VIEW_CNT,value_weighted_volatility,peak_asset_value,TOTAL_DURATION,account_age,TOTAL_FOREIGN,TOTAL_MAT,trading_frequency,age_group
0,143.0,21.4687,358599.0,1466871.0,1808.0,0.0,85.0,8.0,6.0
1,1.0,30.78967411,13668189.0,2893.0,823.0,0.0,0.0,8.0,8.0
2,1.0,21.5082,311120.0,8867.0,556.0,0.0,0.0,2.0,6.0
3,20.0,33.80258765,751704.0,36043.0,5586.0,0.0,0.0,2.0,6.0
4,389.0,27.33681408,1825572.0,4432318.0,1729.0,1194513.0,197.0,9.0,2.0
5,1837.0,46.60708215,46285244.0,74821775.0,649.0,8287127.0,4373.0,11.0,9.0
6,11.0,25.70592217,503450.0,126940.0,204.0,668.0,0.0,8.0,1.0
7,32.0,53.30166659,25679767.0,1463421.0,2243.0,1375020.0,0.0,9.0,7.0
8,1.0,32.03982301,207300.0,13174.0,719.0,0.0,0.0,7.0,6.0
9,78.0,26.59368216,7222908.0,2965623.0,439.0,918256.0,0.0,9.0,1.0
10,25.0,23.73441855,987866.0,375887.0,900.0,373864.0,0.0,8.0,1.0
11,42.0,29.5647405,944245.0,4286984.0,534.0,0.0,70.0,7.0,5.0
12,4901.0,28.95281007,16668908.0,258817501.0,12245.0,13432.0,381233.0,9.0,9.0
13,11.0,65.34653349,2743240.0,2713261.0,940.0,0.0,0.0,6.0,5.0
14,1.0,27.11083617,12264262.0,7902.0,622.0,0.0,0.0,8.0,3.0
15,1.0,31.26996309,3319.0,134.0,366.0,134.0,0.0,7.0,6.0
16,141.0,67.76077463,6517244.0,1048833.0,1054.0,1290.0,19103.0,8.0,3.0
17,5.0,49.152836,3014850.0,73302.0,745.0,43055.0,0.0,7.0,5.0
18,143.0,28.05240727,8749081.0,3759187.0,571.0,65051.0,24.0,8.0,2.0
19,134.0,50.39823876,2696940.0,2174749.0,346.0,0.0,66.0,8.0,7.0
20,217.0,46.87805811,9289316.0,3626495.0,925.0,228.0,55339.0,7.0,4.0
21,5.0,33.10325758,2266880.0,36422.0,604.0,0.0,0.0,6.0,2.0
22,46.0,77.1438,13815560.0,6268081.0,8224.0,376461.0,0.0,2.0,6.0
23,525.0,59.35053907,10882648.0,5730667.0,798.0,3529.0,23232.0,2.0,5.0
24,19.0,68.7969,10327466.0,1771105.0,597.0,1502164.0,0.0,3.0,5.0
25,340.0,60.37508611,122306352.0,1819743.0,9411.0,307.0,0.0,8.0,9.0
26,1670.0,78.5933951,34681468.0,71320843.0,1779.0,1277.0,24504.0,10.0,5.0
27,11.0,24.2720784,1559732.0,343027.0,657.0,328663.0,0.0,3.0,5.0
28,681.0,60.64808252,121767011.0,9201666.0,2564.0,0.0,18.0,10.0,6.0
29,17.0,62.23181686,12060887.0,136762.0,584.0,45.0,0.0,7.0,7.0
30,11.0,22.54924407,12329379.0,11486.0,397.0,6526.0,55.0,7.0,2.0
31,144.0,39.31533428,9207181.0,4053469.0,920.0,8121.0,114.0,8.0,2.0
32,2434.0,78.932,111368.0,265524027.0,645.0,360958.0,64.0,2.0,5.0
33,3.0,15.05680721,181692.0,55178.0,5208.0,97.0,0.0,2.0,5.0
34,1266.0,52.8718852,23940098.0,21059981.0,618.0,122.0,645760.0,10.0,8.0
35,61.0,63.51372186,968531.0,341276.0,308.0,63529.0,122.0,8.0,6.0
36,14.0,48.75274529,660508.0,703774.0,1838.0,0.0,45.0,2.0,7.0
37,21.0,30.55968674,385679.0,694572.0,885.0,0.0,0.0,8.0,1.0
38,6.0,28.17950027,534161.0,64902.0,563.0,0.0,0.0,8.0,5.0
39,11.0,45.3966241,17842062.0,492675.0,755.0,123.0,0.0,8.0,6.0
40,53.0,22.80104035,4380321.0,4668345.0,620.0,2320075.0,0.0,5.0,2.0
41,17.0,49.5893,3945419.0,43955.0,400.0,0.0,0.0,2.0,6.0
42,27.0,34.70262953,60938528.0,541329.0,5012.0,541329.0,0.0,2.0,5.0
43,107.0,29.61119894,10985830.0,1143401.0,1983.0,8007.0,36.0,6.0,4.0
44,15.0,35.13343438,12151751.0,77914.0,575.0,18098.0,133.0,8.0,2.0
45,153.0,40.46006916,2286487.0,3518764.0,4741.0,103.0,28.0,8.0,4.0
46,23.0,26.11623501,12370796.0,104654.0,751.0,915.0,126.0,8.0,2.0
47,16.0,16.95827775,372739.0,119985.0,361.0,117.0,0.0,7.0,6.0
48,468.0,40.03612513,49619758.0,48042986.0,1264.0,7025571.0,1085162.0,9.0,7.0
49,160.0,34.98056242,21369254.0,3814309.0,5148.0,266184.0,17281.0,1.0,6.0
50,3808.0,94.47346352,15197692.0,80657150.0,664.0,76498.0,186851.0,10.0,5.0
51,46.0,44.4521,1927312.0,329188.0,505.0,60154.0,20.0,2.0,3.0
52,101.0,60.7314143,17549714.0,5495931.0,2718.0,0.0,0.0,9.0,8.0
53,12.0,57.48656685,3094289.0,34055.0,575.0,0.0,0.0,7.0,2.0
54,3946.0,41.42160584,2204636.0,66458769.0,250.0,441272.0,92120.0,11.0,5.0
55,10.0,24.58092452,16170256.0,428371.0,883.0,0.0,0.0,8.0,8.0
56,5.0,34.07952784,25943640.0,44050.0,554.0,117.0,0.0,2.0,5.0
57,3833.0,64.47198135,32503099.0,51242073.0,4810.0,52616.0,3573158.0,9.0,6.0
58,4172.0,51.55144478,29708849.0,245044874.0,921.0,26851121.0,116149.0,10.0,8.0
59,3.0,20.64783428,1030493.0,14157.0,142.0,0.0,0.0,9.0,4.0
60,3.0,27.44368725,21182500.0,14865.0,1709.0,117.0,0.0,2.0,8.0
61,281.0,30.75392454,28593920.0,5270389.0,615.0,21806.0,271.0,10.0,1.0
62,623.0,38.70572593,8431259.0,62747369.0,2338.0,334.0,19894.0,9.0,8.0
63,6.0,30.04962443,2349172.0,442057.0,593.0,0.0,0.0,8.0,3.0
64,3.0,32.0117,438578.0,31283.0,627.0,143.0,0.0,7.0,1.0
65,956.0,38.28941436,9627720.0,40190746.0,8480.0,2946276.0,25562.0,9.0,7.0
66,1119.0,43.87776142,6565020.0,29616458.0,1846.0,10837.0,372.0,4.0,2.0
67,2.0,30.65968319,941927.0,19443.0,562.0,19430.0,0.0,2.0,2.0
68,601.0,31.11109867,1174504.0,23117470.0,940.0,1252040.0,548.0,10.0,3.0
69,114.0,96.48052955,19946966.0,8030583.0,898.0,0.0,26.0,8.0,7.0
70,255.0,22.62827406,2358879.0,1204170.0,618.0,119568.0,153.0,9.0,5.0
71,2.0,33.11021117,8643757.0,9103.0,5337.0,9103.0,0.0,8.0,4.0
72,371.0,49.64693391,1605542.0,91453692.0,710.0,0.0,0.0,2.0,8.0
73,13624.0,43.0529956,1177979.0,285555708.0,569.0,0.0,376596.0,11.0,6.0
74,488.0,28.37112601,16392940.0,14078853.0,1981.0,165.0,47943.0,9.0,7.0
75,13.0,41.87231427,3425319.0,1696960.0,928.0,0.0,0.0,8.0,4.0
76,7.0,25.1142262,3972787.0,83916.0,565.0,0.0,98.0,8.0,8.0
77,26.0,24.00674844,4769480.0,171936.0,155.0,0.0,0.0,1.0,1.0
78,3.0,54.9037022,7922767.0,32359.0,5245.0,32122.0,0.0,3.0,5.0
79,2.0,32.80601057,20645895.0,15087.0,661.0,0.0,0.0,4.0,7.0
80,50.0,21.7235919,1099047.0,1115861.0,108.0,0.0,0.0,9.0,5.0
81,29.0,22.76643823,87777340.0,756569.0,6296.0,18959.0,0.0,8.0,6.0
82,918.0,28.6592622,113300661.0,48768110.0,648.0,0.0,724.0,9.0,4.0
83,3378.0,31.8298583,9610945.0,70383139.0,3801.0,7032206.0,21443.0,10.0,7.0
84,441.0,42.18598175,23087212.0,13957170.0,750.0,0.0,99.0,9.0,7.0
85,200.0,51.49515814,2732914.0,11555566.0,591.0,0.0,38163.0,10.0,7.0
86,271.0,55.87223373,28817184.0,5765834.0,328.0,10017.0,16.0,9.0,5.0
87,1610.0,80.5312333,118835059.0,117461683.0,4462.0,55992528.0,340386.0,10.0,6.0
88,1.0,24.93940374,4290850.0,8520.0,600.0,0.0,0.0,8.0,1.0
89,24.0,65.11454526,3297981.0,1517423.0,941.0,0.0,23.0,7.0,2.0
90,237.0,28.84284433,4913002.0,4845699.0,635.0,137.0,0.0,9.0,1.0
91,2.0,36.4806163,3691125.0,5648.0,512.0,0.0,27.0,4.0,6.0
92,37.0,28.969074,509725.0,405529.0,3131.0,0.0,0.0,6.0,7.0
93,3830.0,38.47870948,16643906.0,41711576.0,700.0,19022456.0,917797.0,10.0,1.0
94,45.0,59.02468348,163726328.0,1864070.0,12247.0,0.0,11650.0,10.0,7.0
95,189.0,26.80753301,67095737.0,1040141.0,866.0,554719.0,91595.0,8.0,9.0
96,57.0,42.09667129,2431613.0,1669296.0,469.0,0.0,0.0,1.0,8.0
97,1724.0,24.49732555,63735254.0,20315953.0,4035.0,171334.0,345.0,8.0,7.0
98,10792.0,68.02059063,36927562.0,128949005.0,531.0,98009.0,14097.0,10.0,9.0
99,44.0,23.328015,50494646.0,433816.0,250.0,0.0,0.0,1.0,7.0
