,TOTAL_VIEW_CNT,value_weighted_volatility,peak_asset_value,TOTAL_DURATION,account_age,TOTAL_FOREIGN,TOTAL_MAT,trading_frequency,age_group
0,306.0,56.61975383,21613902.0,22592289.0,641.0,60.0,60.0,10.0,5.0
1,1241.0,22.6672,793400.0,80850248.0,504.0,0.0,0.0,3.0,2.0
2,6.0,25.57457944,1352669.0,179604.0,5159.0,0.0,0.0,8.0,5.0
3,5.0,29.64931283,3577898.0,44515.0,875.0,246.0,0.0,7.0,5.0
4,9.0,19.86552819,107805.0,134850.0,717.0,113.0,0.0,2.0,5.0
5,2.0,33.39391989,2231222.0,23038.0,579.0,0.0,0.0,8.0,8.0
6,1.0,67.97465955,184287296.0,280.0,7693.0,0.0,0.0,7.0,7.0
7,93.0,69.54226385,1639456.0,1282844.0,514.0,0.0,63.0,9.0,6.0
8,11.0,62.49929053,6755100.0,1859763.0,1059.0,0.0,0.0,8.0,1.0
9,1528.0,48.93019702,18293942.0,18814322.0,585.0,0.0,7362.0,9.0,6.0
10,958.0,37.99319103,18173028.0,21338480.0,8138.0,3975441.0,16693.0,10.0,7.0
11,2873.0,42.56598528,7776545.0,208562962.0,911.0,641825.0,1936831.0,10.0,2.0
12,665.0,21.46884789,121228458.0,22060341.0,730.0,20143494.0,0.0,2.0,4.0
13,724.0,29.01347388,3649036.0,8060810.0,460.0,0.0,13189.0,8.0,3.0
14,102.0,115.0865374,7780379.0,663564.0,941.0,0.0,87951.0,2.0,6.0
15,4.0,21.4687,2568239.0,20763.0,113.0,0.0,0.0,8.0,1.0
16,4.0,24.33534907,12265094.0,15832.0,7451.0,0.0,0.0,9.0,6.0
17,8.0,50.1031,8726532.0,75159.0,700.0,0.0,0.0,8.0,2.0
18,2.0,67.0956,20282.0,1114.0,438.0,0.0,0.0,2.0,5.0
19,464.0,43.24564626,66721357.0,12879920.0,9367.0,326.0,228.0,7.0,9.0
20,222.0,41.79819097,6778337.0,1149120.0,660.0,100816.0,262.0,4.0,2.0
21,188.0,72.9506,512747.0,4228907.0,564.0,21979.0,318551.0,3.0,6.0
22,109.0,32.99703537,4313714.0,2263804.0,778.0,0.0,0.0,8.0,3.0
23,5.0,35.04049386,1378238.0,77823.0,548.0,0.0,0.0,3.0,1.0
24,20.0,24.797,115603393.0,3455033.0,896.0,0.0,0.0,8.0,8.0
25,1.0,40.4005788,1345890.0,378117.0,577.0,0.0,0.0,2.0,2.0
26,242.0,28.05191265,15337328.0,15145530.0,5217.0,0.0,99.0,8.0,5.0
27,410.0,21.09363924,10230465.0,7706178.0,5176.0,617659.0,89678.0,1.0,7.0
28,168.0,49.03642764,9086167.0,3248107.0,872.0,138.0,57.0,7.0,4.0
29,13.0,46.30060186,2184901.0,1910653.0,422.0,0.0,0.0,8.0,7.0
30,7.0,43.62944991,54717195.0,48726.0,674.0,0.0,19.0,8.0,6.0
31,5.0,27.34809864,7941238.0,140507.0,479.0,0.0,0.0,8.0,1.0
32,4.0,15.9537,1086506.0,13780.0,742.0,5402.0,0.0,2.0,1.0
33,63.0,24.33995952,7453650.0,140361.0,1093.0,132978.0,5528.0,2.0,3.0
34,249.0,31.1098408,63115413.0,3544993.0,476.0,0.0,0.0,8.0,8.0
35,2420.0,56.31495812,42252170.0,38161046.0,834.0,100353.0,672.0,10.0,6.0
36,16.0,28.57374088,5846898.0,49443.0,657.0,0.0,0.0,8.0,5.0
37,6.0,42.73689457,3914137.0,47885.0,1564.0,0.0,0.0,2.0,7.0
38,29.0,27.53077278,3440454.0,170074.0,476.0,0.0,0.0,8.0,9.0
39,2681.0,36.11811053,5592461.0,99398851.0,8549.0,1840.0,69.0,10.0,7.0
