,act_no,value_weighted_volatility
0,0.0,34.320511166236614
1,1.0,52.04630000000001
2,2.0,30.76835606936416
3,3.0,44.7921
4,4.0,0.0
5,5.0,33.9059
6,6.0,21.4687
7,7.0,20.983916179424234
8,8.0,51.92493816901519
9,9.0,24.576141255176804
10,10.0,30.789674112487155
11,11.0,36.517201199522255
12,12.0,56.619753834062834
13,13.0,23.921166831351318
14,14.0,21.5082
15,15.0,7.655980672687301
16,16.0,38.620468610199104
17,17.0,0.0
18,18.0,81.19746534021996
19,19.0,28.872240289055643
20,20.0,_
21,21.0,33.80258764998325
22,22.0,47.865754490781654
23,23.0,31.047848114027563
24,24.0,46.00980497644278
25,25.0,27.33681407660952
26,26.0,46.06006264605095
27,27.0,89.72113822232167
28,28.0,29.286014842829555
29,29.0,46.607082150135554
30,30.0,26.371389110994212
31,31.0,31.984080621422738
32,32.0,16.87073810683802
33,33.0,22.667199999999998
34,34.0,77.5485
35,35.0,47.68419375225569
36,36.0,25.705922171376272
37,37.0,24.417740845349186
38,38.0,40.02961522275167
39,39.0,25.679078053067
40,40.0,53.3016665882295
41,41.0,36.97802310089957
42,42.0,21.4687
43,43.0,37.39104558004057
44,44.0,32.03982301146874
45,45.0,41.90921522981367
46,46.0,27.513399999999997
47,47.0,29.09009337934355
48,48.0,4.871735503964424
49,49.0,85.71154784106186
50,50.0,26.59368215529001
51,51.0,_
52,52.0,23.04815933867217
53,53.0,0.0
54,54.0,61.028800000000004
55,55.0,25.574579438137512
56,56.0,21.4687
57,57.0,25.77096390228615
58,58.0,42.57059999999999
59,59.0,23.734418554613363
60,60.0,49.58930000000001
61,61.0,111.1572
62,62.0,22.130470511642898
63,63.0,33.842650626942884
64,64.0,39.296480941705035
65,65.0,0.0
66,66.0,29.5647404975812
67,67.0,0.0
68,68.0,16.144174649980577
69,69.0,25.123886069625883
70,70.0,54.675292279048016
71,71.0,28.95281007277103
72,72.0,39.85257217798558
73,73.0,40.30018871279829
74,74.0,27.974500996959414
75,75.0,65.34653348568617
76,76.0,32.842082811602296
77,77.0,29.649312829127485
78,78.0,23.083234641943864
79,79.0,_
80,80.0,_
81,81.0,27.110836167488756
82,82.0,47.39910024652198
83,83.0,36.16539716731253
84,84.0,24.59810689132305
85,85.0,20.2528
86,86.0,31.269963085291312
87,87.0,41.7832
88,88.0,144.0465
