,TOTAL_VIEW_CNT,value_weighted_volatility,peak_asset_value,TOTAL_DURATION,account_age,TOTAL_FOREIGN,TOTAL_MAT,trading_frequency,age_group
0,517.0,52.0463,2891504.0,37564462.0,4728.0,0.0,94185.0,7.0,7.0
1,115.0,51.92493817,53883552.0,229712.0,1700.0,0.0,0.0,9.0,3.0
2,306.0,56.61975383,21613902.0,22592289.0,641.0,60.0,60.0,10.0,5.0
3,321.0,81.19746534,4059000.0,3070472.0,5428.0,17984.0,52837.0,9.0,8.0
4,359.0,31.04784811,119950886.0,9255360.0,2712.0,18854.0,881.0,10.0,6.0
5,5.0,89.72113822,2168811.0,40988.0,1086.0,0.0,26374.0,8.0,5.0
6,1241.0,22.6672,793400.0,80850248.0,504.0,0.0,0.0,3.0,2.0
7,522.0,40.02961522,57259410.0,44404659.0,9856.0,253.0,264.0,10.0,8.0
8,1.0,21.4687,1816342.0,98.0,942.0,0.0,0.0,2.0,1.0
9,1.0,4.871735504,95889711.0,65702.0,501.0,0.0,0.0,7.0,5.0
10,6.0,25.57457944,1352669.0,179604.0,5159.0,0.0,0.0,8.0,5.0
11,2.0,33.84265063,6335105.0,33844.0,625.0,0.0,0.0,8.0,9.0
12,27.0,25.12388607,4097292.0,155009.0,323.0,243.0,303.0,8.0,3.0
13,795.0,40.30018871,13233013.0,21720747.0,9046.0,0.0,1531.0,8.0,8.0
14,5.0,29.64931283,3577898.0,44515.0,875.0,246.0,0.0,7.0,5.0
15,644.0,36.16539717,14807747.0,6191245.0,564.0,0.0,849.0,9.0,9.0
16,26.0,144.0465,2468681.0,55878.0,1530.0,18875.0,332.0,2.0,5.0
17,122.0,39.89677173,2149619.0,4887118.0,898.0,22561.0,30.0,2.0,5.0
18,9.0,19.86552819,107805.0,134850.0,717.0,113.0,0.0,2.0,5.0
19,43.0,74.7389,71154.0,1241357.0,512.0,143.0,44.0,2.0,5.0
20,28.0,49.26181951,9596259.0,117110.0,5880.0,0.0,0.0,7.0,5.0
21,5.0,79.09600232,1358733.0,108904.0,752.0,0.0,60.0,8.0,4.0
22,2.0,33.39391989,2231222.0,23038.0,579.0,0.0,0.0,8.0,8.0
23,42.0,56.22655745,16176310.0,1340352.0,1505.0,108.0,0.0,8.0,2.0
24,7.0,26.75418297,9047667.0,31529.0,610.0,31529.0,0.0,2.0,4.0
25,3.0,37.0904,188106.0,6136.0,559.0,0.0,0.0,2.0,2.0
26,1.0,67.97465955,184287296.0,280.0,7693.0,0.0,0.0,7.0,7.0
27,152.0,24.12879856,2126793.0,1035764.0,933.0,823.0,0.0,2.0,3.0
28,6207.0,21.6237,122154.0,43809471.0,6588.0,225.0,696788.0,2.0,9.0
29,4.0,38.938727,1890000.0,459.0,626.0,73.0,0.0,2.0,2.0
30,93.0,69.54226385,1639456.0,1282844.0,514.0,0.0,63.0,9.0,6.0
31,166.0,63.7349279,68047428.0,3307094.0,8471.0,0.0,0.0,10.0,8.0
32,507.0,57.81083836,6405846.0,32723318.0,758.0,3219.0,28.0,9.0,3.0
33,3.0,49.71618293,19068639.0,8608.0,513.0,0.0,0.0,7.0,4.0
