,account_number,access_count,SEX_F,SEX_M,age_group,income_group,account_age,LIFESTAGE_1,LIFESTAGE_2,LIFESTAGE_3,LIFESTAGE_4,LIFESTAGE_5,LIFESTAGE_6,LIFESTAGE_7,LIFESTAGE_8,LIFESTAGE_9,LIFESTAGE_10,nh_level,invest_exp_group,HOLDINGS_TYPE_1.0,HOLDINGS_TYPE_2.0,HOLDINGS_TYPE_3.0,HOLDINGS_TYPE_4.0,loyalty,SECTOR_1.0,SECTOR_2.0,SECTOR_3.0,SECTOR_4.0,SECTOR_5.0,SECTOR_6.0,SECTOR_7.0,SECTOR_8.0,SECTOR_9.0,SECTOR_10.0,SECTOR_11.0,SECTOR_12.0,SECTOR_13.0,SECTOR_14.0,SECTOR_15.0,SECTOR_16.0,kr_stock_yn,overseas_stock_yn,risk_tolerance,sophistication,stock_wealth_level,trading_frequency,peak_asset_value,value_weighted_volatility,leverage,Label
0,0.0,1.0,0,1,0.375,0.0,0.487872702,0,0,1,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.7,0.002629524,0.13573926,0.0,3
1,0.00010002,1.0,0,1,0.75,0.0,0.358180133,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.6,0.00336133,0.205906016,0.0,1
2,0.00020004,0.2,0,1,0.5,0.0,0.304032133,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.7,0.00014451,0.121678211,0.0,2
3,0.00030006,0.6,0,1,0.625,0.0,0.191101499,0,0,0,0,0,0,1,0,0,0,0.666666667,0.6,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.75,0.5,0.128988727,0.177190584,0.0,0
4,0.0005001,0.0,1,0,1.0,0.0,0.137880426,0,0,0,0,0,0,0,0,1,0,0.5,0.4,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.5,0.1,0.036628571,0.13409804,0.0,3
5,0.00060012,1.0,0,1,0.625,0.0,0.132627839,0,0,0,0,1,0,0,0,0,0,0.333333333,0.6,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.7,0.000416866,0.084865931,0.0,1
6,0.00070014,0.6,0,1,0.5,0.0,0.022091766,0,0,0,0,1,0,0,0,0,0,0.5,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.7,0.000370942,0.082946936,0.0,2
7,0.00080016,1.0,1,0,0.25,0.0,0.124285494,0,0,0,1,0,0,0,0,0,0,0.5,0.6,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.666666667,0.5,0.8,0.062638812,0.20542561,0.0,0
8,0.00090018,1.0,0,1,0.0,0.0,0.059477831,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.6,0.001996568,0.097166601,0.0,3
9,0.0010002,0.8,1,0,0.875,0.0,0.056542561,0,0,0,0,0,1,0,0,0,0,0.333333333,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0.333333333,0.25,0.7,0.015889062,0.121762597,0.0,1
10,0.00110022,1.0,1,0,0.5,0.0,0.055461146,0,0,0,0,1,0,0,0,0,0,0.666666667,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.666666667,0.75,0.7,0.122254994,0.144434761,0.0,2
11,0.00120024,1.0,1,0,0.5,0.0,0.042484165,0,0,0,0,0,1,0,0,0,0,0.333333333,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.666666667,0.25,0.9,0.025125833,0.224009831,0.0,0
12,0.00130026,1.0,1,0,0.375,0.0,0.040630311,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.003680441,0.094573913,0.0,3
13,0.00140028,0.4,0,1,0.625,0.0,0.03591843,0,0,0,0,1,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.000361672,0.08502229,0.0,1
14,0.0015003,0.4,1,0,0.0,0.0,0.028194037,0,1,0,0,0,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0.0,0.0,0.1,9.46e-05,0.030188889,0.0,2
15,0.00160032,0.8,0,1,0.5,0.0,0.020624131,0,0,0,0,1,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0.333333333,0.25,0.7,0.015562289,0.152760453,0.0,0
16,0.00180036,1.0,0,1,0.875,0.0,0.412250888,0,0,0,0,1,0,0,0,0,0,0.166666667,0.4,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.333333333,0.0,0.8,0.004718526,0.321299621,0.0,3
17,0.00190038,1.0,1,0,1.0,0.0,0.946006488,0,0,0,0,0,0,0,0,1,0,0.333333333,1.0,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.333333333,0.25,0.8,0.03385243,0.11417252,0.0,1
18,0.00210042,0.6,0,1,0.625,0.0,0.42445543,0,0,0,0,0,0,1,0,0,0,0.166666667,0.8,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.000873844,0.133689083,0.0,2
19,0.00220044,1.0,1,0,0.375,0.0,0.26471497,0,0,0,1,0,0,0,0,0,0,0.333333333,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.25,0.6,0.012716153,0.18935751,0.0,0
20,0.00230046,1.0,0,1,0.625,0.0,0.202456357,0,0,0,0,1,0,0,0,0,0,0.666666667,0.8,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.333333333,0.75,0.9,0.139441086,0.122784568,0.0,3
21,0.00240048,0.0,1,0,0.375,0.0,0.166228951,0,0,0,1,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.005190612,0.182010816,0.0,1
22,0.0025005,1.0,0,1,0.125,0.0,0.126525568,0,1,0,0,0,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.666666667,0.0,0.8,0.0021222,0.108094603,0.0,2
23,0.00260052,1.0,0,1,0.25,0.0,0.115943148,0,0,1,0,0,0,0,0,0,0,0.166666667,0.0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.666666667,0.0,0.8,0.000382037,0.182209759,0.0,0
24,0.00270054,0.8,0,1,0.5,0.0,0.076857717,0,0,0,0,1,0,0,0,0,0,0.166666667,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.7,0.00252121,0.355040205,0.0,3
25,0.00280056,0.2,0,1,0.0,0.0,0.052139657,1,0,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.333333333,0.0,0.6,0.005338763,0.115810428,0.0,1
26,0.00290058,1.0,0,1,1.0,0.0,0.043102116,0,0,0,0,0,0,0,0,1,0,0.5,0.4,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.666666667,0.5,1.0,0.053805894,0.184375111,0.0,2
27,0.0030006,0.0,0,1,0.0,0.0,0.037849529,1,0,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.003496622,0.10427301,0.0,0
28,0.00310062,0.2,1,0,0.375,0.0,0.037386065,0,0,0,1,0,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.000550188,0.126490603,0.0,3
29,0.00320064,0.2,0,1,0.75,0.0,0.036999846,0,0,0,0,1,0,0,0,0,0,0.333333333,0.2,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.000355727,0.066665101,0.0,1
30,0.00330066,1.0,0,1,0.125,0.0,0.031901746,0,1,0,0,0,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.2,0.000922315,0.089610141,0.0,2
31,0.00340068,0.0,1,0,0.375,0.0,0.022014522,0,0,0,1,0,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0,0.1,4.88e-06,0.306855353,0.0,0
32,0.0035007,1.0,1,0,0.875,0.0,0.014599104,0,0,0,0,1,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.7,0.005190276,0.18863881,0.0,3
33,0.00360072,0.2,0,1,0.0,0.0,0.008728565,1,0,0,0,0,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.7,0.000585253,0.101638789,0.0,1
34,0.00370074,1.0,1,0,0.875,0.0,0.628379422,0,0,0,0,0,1,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.25,0.1,0.010884848,0.09653958,0.0,2
35,0.00380076,1.0,0,1,0.875,0.0,0.754287038,0,0,0,0,1,0,0,0,0,0,0.5,1.0,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.333333333,0.5,0.9,0.066563196,0.158338498,0.0,0
36,0.00390078,0.8,1,0,0.0,0.0,0.408774911,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.2,0.002249216,0.101532528,0.0,3
37,0.0040008,0.2,1,0,0.75,0.0,0.166228951,0,0,0,0,1,0,0,0,0,0,0.5,0.6,1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.333333333,0.25,0.8,0.02985234,0.210875329,0.0,1
38,0.00410082,1.0,1,0,0.625,0.0,0.076471497,0,0,0,0,0,1,0,0,0,0,0.333333333,0.4,1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.333333333,0.25,0.8,0.027091829,0.146258904,0.0,2
39,0.00420084,0.0,1,0,0.0,0.0,0.06573459,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.1,0.00211147,0.084865931,0.0,0
40,0.00430086,1.0,0,1,0.5,0.0,0.063803491,0,0,0,0,1,0,0,0,0,0,0.333333333,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.333333333,0.25,0.7,0.028431902,0.147893836,0.0,3
41,0.00440088,0.4,1,0,0.625,0.0,0.048509192,0,0,0,0,1,0,0,0,0,0,0.166666667,0.0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.333333333,0.0,0.6,0.000240983,0.126711257,0.0,1
42,0.0045009,1.0,1,0,0.0,0.0,0.037231577,0,1,0,0,0,0,0,0,0,0,0.166666667,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.333333333,0.0,0.7,0.001475881,0.165778812,0.0,2
